Tier1_Segment,Tier2_Stream,Tier3_Cat,Tier4_Type,COUNTA of id,,,,,,,,,,,,,,,,,,,,,
B2C,Complaint,General Support,Discripency in charging amount,1,,,,,,,,,,,,,,,,,,,,,
,,Price Mismatch,Offer vs Reality Mismatch,1,,,,,,,,,,,,,,,,,,,,,
,,Refund,Cancellation Request,24,,,,,,,,,,,,,,,,,,,,,
,,,Refund Request,5,,,,,,,,,,,,,,,,,,,,,
,,Technical Bug,Access Loop or App Bug,3,,,,,,,,,,,,,,,,,,,,,
,,,Content Display Issue,1,,,,,,,,,,,,,,,,,,,,,
,,,Not able to activate the account,1,,,,,,,,,,,,,,,,,,,,,
,,,Unable to Unsubscribe from Email,1,,,,,,,,,,,,,,,,,,,,,
,Junk,,,38,,,,,,,,,,,,,,,,,,,,,
,Service Task,Account Management,Comments being block,1,,,,,,,,,,,,,,,,,,,,,
,,,Request to delete account,4,,,,,,,,,,,,,,,,,,,,,
,,,UI/UX Friction - Not knowing how to cancel,1,,,,,,,,,,,,,,,,,,,,,
,,,User Error / Correction - Not knowing how to cancel,1,,,,,,,,,,,,,,,,,,,,,
,,,User Error / Correction - Requesting to send newsletter to another email address,1,,,,,,,,,,,,,,,,,,,,,
,,Billing & Admin,Invoices and PO request,6,,,,,,,,,,,,,,,,,,,,,
,,,System Report,17,,,,,,,,,,,,,,,,,,,,,
,,General Support,Editorial / Archive Request,1,,,,,,,,,,,,,,,,,,,,,
,,,Enquiry on magazine publication date,2,,,,,,,,,,,,,,,,,,,,,
,,,Next billing rate,2,,,,,,,,,,,,,,,,,,,,,
,,,No Content - Live chat auto-trigger,242,,,,,,,,,,,,,,,,,,,,,
,,,Remove card details,2,,,,,,,,,,,,,,,,,,,,,
,,,Retention Offer,2,,,,,,,,,,,,,,,,,,,,,
,,,UI/UX Friction - Not knowing how to upgrade,1,,,,,,,,,,,,,,,,,,,,,
,,,UI/UX Friction - Not knowing why receiving activation email,2,,,,,,,,,,,,,,,,,,,,,
,,,User Error / Correction - Request to resent password,1,,,,,,,,,,,,,,,,,,,,,
,,Logistics,Print Subs - Suspension and Resume confirmation,32,,,,,,,,,,,,,,,,,,,,,
,,Price Mismatch,Offer vs Reality Mismatch,1,,,,,,,,,,,,,,,,,,,,,
,,Regulatory / Admin,OFCA,1,,,,,,,,,,,,,,,,,,,,,
,,Sales Leads,Rate or Renewal Inquiry,2,,,,,,,,,,,,,,,,,,,,,
,,,Upgrade Inquiry,5,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,,402,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
